region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlertPM10,dataCoverageAlertPM2.5,Number and type of monitoring stations (PM10),Number and type of monitoring stations (PM2.5),Reference
European Region,Eur HI,Estonia,Tartu,700,17,2013,,,,8,2013,,,,,,,"1 station, background, urban","1 station, background, urban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Finland,Harjavalta,701,12,2014,,,,7,2014,,,,,,,"2 stations, suburban industrial","1 station, suburban industrial",Finnish Meteorological Institute
European Region,Eur HI,Finland,Helsinki,702,19,2014,,,,9,2014,,,,,,,"3 stations, urban background","2 stations, urban background",Finnish Meteorological Institute
European Region,Eur HI,Finland,Hyvink__,703,16,2014,,,,8,2014,,,,,,,"1 station, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Imatra,704,13,2014,,,,7,2014,,,,,,,"3 stations, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Jyv_skyl_,705,13,2014,,,,6,2014,,,,,,,"2 stations, background suburban, traffic, urban",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Kajaani,706,13,2014,,,,7,2014,,,,,,,"1 station, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Kotka,707,15,2014,,,,8,2014,,,,,,,"1 station, suburban industrial",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Kouvola,708,15,2014,,,,7,2014,,,,,,,"1 station, urban background",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Kuopio,709,15,2014,,,,6,2014,,,,,,,"3 stations, urban background","1 station, urban background",Finnish Meteorological Institute
European Region,Eur HI,Finland,Lahti,710,15,2014,,,,8,2014,,,,,,,"2 stations, urban traffic","1 station, urban traffic",Finnish Meteorological Institute
European Region,Eur HI,Finland,Lappeenranta,711,16,2014,,,,8,2014,,,,,,,"3 stations, suburban traffic","1 station, suburban traffic",Finnish Meteorological Institute
European Region,Eur HI,Finland,Lohja,712,11,2014,,,,6,2014,,,,,,,"1 station, urban background","1 station, urban background",Finnish Meteorological Institute
European Region,Eur HI,Finland,Mikkeli,713,14,2014,,,,7,2014,,,,,,,"1 station, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Muonio,714,4,2014,,,,2,2014,,,,,,,"1 station, rural background (remote background)",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Oulu,715,14,2014,,,,8,2014,,,,,,,"2 stations, suburban background, urban traffic","1 station, urban traffic",Finnish Meteorological Institute
European Region,Eur HI,Finland,Pietarsaari,716,16,2014,,,,8,2014,,,,,,,"1 station, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Pori,717,14,2014,,,,7,2014,,,,,,,"1 station, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Raahe,718,9,2014,,,,5,2014,,,,,,,"1 station, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Tampere,719,18,2014,,,,9,2014,,,,,,,"2 stations, suburban traffic","1 station, suburban traffic",Finnish Meteorological Institute
European Region,Eur HI,Finland,Turku,720,15,2014,,,,8,2014,,,,,,,"1 station, urban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Vaasa,721,14,2014,,,,7,2014,,,,,,,"2 stations, urban background, urban traffic","1 station, background urban",Finnish Meteorological Institute
European Region,Eur HI,Finland,Valkeakoski,722,13,2014,,,,6,2014,,,,,,,"1 station, suburban traffic",-,Finnish Meteorological Institute
European Region,Eur HI,Finland,Vantaa,723,16,2014,,,,8,2014,,,,,,,"1 station, suburban traffic","1 station, suburban traffic",Finnish Meteorological Institute
European Region,Eur HI,Finland,Virolahti,724,13,2014,,,,7,2014,,,,,,,"1 station, Background urban","1 station, Background urban",Finnish Meteorological Institute
European Region,Eur HI,France,Agen,725,15,2014,,,,9,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Airvault,726,16,2014,,,,10,2014,,,,,,,"1 station, Industrial rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Aix-En-Provence,727,24,2014,,,,13,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Ajaccio,728,24,2014,,,,10,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Albertville,729,17,2014,,,,11,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Albi,730,16,2014,,,,15,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Amiens,731,21,2014,,,,13,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Angers,732,19,2014,,,,12,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Anglet,733,27,2014,,,,17,2014,,,,,,,"1 station, Traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Angouleme,734,20,2014,,,,10,2014,,,,,,,"2 stations, background urban, traffic urban","1 station, background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Annecy,735,21,2014,,,,16,2014,,,,,,,"3 stations, background urban, traffic, urban","1 station, background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Annemasse,736,17,2014,,,,12,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Antibes,737,26,2014,,,,16,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.",,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Arles,738,26,2014,,,,16,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Armentieres,739,18,2014,,,,11,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Arrest,740,18,2014,,,,11,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.",,"1 station, Background rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Atton,741,15,2014,,,,9,2014,,,,,,,"1 station, Industrial rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Aurillac,742,14,2014,,,,9,2014,,,,,,,"1 station, Traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Auxerre,743,15,2014,,,,10,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Avignon,744,22,2014,,,,13,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Aytre,745,22,2014,,,,14,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Baie-Mahault,746,15,2014,,,,9,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.",,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bar-Le-Duc,747,17,2014,,,,11,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bassens,748,18,2014,,,,11,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bastia,749,23,2014,,,,11,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bayonne,750,19,2014,,,,8,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Beauvais,751,22,2014,,,,15,2014,,,,,,,"1 station, Traffic urban","1 station, Traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Belfort,752,16,2014,,,,10,2014,,,,,,,"1 station, Traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Belleville-Sur-Meuse,753,22,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",14,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, Traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Besancon,754,22,2014,,,,14,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bessieres,755,18,2014,,,,11,2014,,,,,,,"1 station, Industrial rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Betheny,756,19,2014,,,,12,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bethune,757,21,2014,,,,13,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Billere,758,16,2014,,,,10,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bizanos,759,15,2014,,,,9,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Blenod-Les-Pont-A-Mousson,760,18,2014,,,,11,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Blois,761,16,2014,,,,10,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bobigny,762,22,2014,,,,14,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bois-Herpin,763,17,2014,,,,8,2014,,,,,,,"1 station, Background rural","1 station, Background rural","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bordeaux,764,22,2014,,,,14,2014,,,,,,,"3 stations, background urban, traffic, urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Boulogne-Sur-Mer,765,23,2014,,,,14,2014,,,,,,,"1 station, Traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bourg-En-Bresse,766,17,2014,,,,11,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bourges,767,19,2014,,,,12,2014,,,,,,,"2 stations, background urban, traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bourg-Les-Valence,768,20,2014,,,,14,2014,,,,,,,"1 station, Traffic urban","1 station, Traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Bourgoin-Jallieu,769,16,2014,,,,10,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Brest,770,20,2014,,,,13,2014,,,,,,,"2 stations, background urban, traffic urban","1 station, background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Brive-La-Gaillarde,771,21,2014,,,,13,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Caen,772,20,2014,,,,11,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cagnes-Sur-Mer,773,23,2014,,,,14,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Calais,774,22,2014,,,,15,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cambrai,775,21,2014,,,,11,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Campagne-Les-Boulonnais,776,19,2014,,,,14,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cannes,777,22,2014,,,,14,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cappelle-La-Grande,778,24,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",15,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, Background suburban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Carling,779,16,2014,,,,10,2014,,,,,,,"1 station, Industrial urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cartignies,780,16,2014,,,,10,2014,,,,,,,"1 station, Background rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Castres,781,15,2014,,,,9,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cayenne,782,33,2014,,,,15,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cergy,783,20,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cerise,784,17,2014,,,,11,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chalons-En-Champagne,785,19,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chalon-Sur-Saone,786,18,2014,,,,13,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","1 station, Traffic urban","1 station, Traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chamalieres,787,19,2014,,,,12,2014,,,,,,,"1 station, Traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chambery,788,20,2014,,,,15,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chamonix-Mont-Blanc,789,18,2014,,,,11,2014,,,,,,,"2 stations, background urban, traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Champforgeuil,790,13,2014,,,,8,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Charleville-Mezieres,791,20,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chateauneuf-Les-Martigues,792,25,2014,,,,16,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chateauroux,793,16,2014,,,,10,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chatenois,794,10,2014,,,,6,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Chauny,795,19,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cherbourg-Octeville,796,20,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cholet,797,18,2014,,,,11,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Clermont-Ferrand,798,17,2014,,,,11,2014,,,,,,,"3 stations, background urban, traffic, urban","2 stations, background urban, traffic, urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Cognac,799,17,2014,,,,11,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Colmar,800,19,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Contes,801,27,2014,,,,17,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Coulommiers,802,31,2014,,,,19,2014,,,,,,,"1 station, Traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Creil,803,20,2014,,,,13,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Crolles,804,20,2014,,,,12,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Daix,805,18,2014,,,,11,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Dax,806,17,2014,,,,12,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Denain,807,20,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Dieppe,808,26,2014,,,,16,2014,,,,,,,"1 station, Traffic urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Dijon,809,14,2014,,,,12,2014,,,,,,,"3 stations, background urban, traffic, urban","2 stations, background urban, traffic, urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Dole,810,15,2014,,,,9,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Donges,811,17,2014,,,,11,2014,,,,,,,"1 station, Industrial urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Douai,812,21,2014,,,,16,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Dreux,813,15,2014,,,,9,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Dunkerque,814,23,2014,,,,16,2014,,,,,,,"3 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Echirolles,815,28,2014,,,,15,2014,,,,,,,"1 station, Traffic urban","1 station, Traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Epernay,816,22,2014,,,,14,2014,,,,,,,"1 station, Traffic urban","1 station, Traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Epinal,817,15,2014,,,,9,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Escautpont,818,19,2014,,,,12,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Evreux,819,18,2014,,,,11,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Feyzin,820,23,2014,,,,14,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Fleville-Devant-Nancy,821,17,2014,,,,11,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Florange,822,25,2014,,,,16,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Fontaine,823,20,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Fontainebleau,824,14,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, Background rural","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Forbach,825,25,2014,,,,16,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Fort-De-France,826,33,2014,,,,10,2014,,,,,,,"2 stations, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Fos-Sur-Mer,827,25,2014,,,,16,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Fremainville,828,17,2014,,,,11,2014,,,,,,,"1 station, Background rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Frolois,829,21,2014,,,,13,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Frossay,830,16,2014,,,,10,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gaillard,831,18,2014,,,,11,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gandrange,832,21,2014,,,,13,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gap,833,21,2014,,,,13,2014,,,,,,,"2 stations, Background urban","2 stations, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gardanne,834,29,2014,,,,14,2014,,,,,,,"1 station, Industrial suburban","1 station, Industrial suburban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Genas,835,21,2014,,,,13,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gennevilliers,836,22,2014,,,,14,2014,,,,,,,"1 station, Background urban","1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gonesse,837,22,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",14,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, Background suburban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Grand-Couronne,838,19,2014,,,,12,2014,,,,,,,"1 station, Industrial urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Grande-Synthe,839,27,2014,,,,17,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gravelines,840,21,2014,,,,13,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Grenoble,841,24,2014,,,,12,2014,,,,,,,"2 stations, background urban, traffic urban","1 station, background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Gueret,842,15,2014,,,,9,2014,,,,,,,"1 station, Background rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Guipry,843,13,2014,,,,10,2014,,,,,,,"1 station, Background rural","1 station, Background rural","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Hayange,844,19,2014,,,,12,2014,,,,,,,"2 stations, Industrial urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Heming,845,22,2014,,,,14,2014,,,,,,,"1 station, Industrial rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Hornaing,846,21,2014,,,,13,2014,,,,,,,"1 station, Industrial suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Hyeres,847,19,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Ifs,848,20,2014,,,,12,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Issoire,849,14,2014,,,,9,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Issoudun,850,10,2014,,,,11,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","1 station, traffic urban","1 station, traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Jonville-En-Woevre,851,21,2014,,,,15,2014,,,,,,,"1 station, Background rural","1 station, Background rural","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,Joue-Les-Tours,852,19,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",12,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Coulonche,853,14,2014,,,,9,2014,,,,,,,"1 station, Background rural","1 station, Background rural","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Couronne,854,16,2014,,,,10,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Lechere,855,25,2014,,,,16,2014,,,,,,,"1 station, Industrial rural",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Mulatiere,856,30,2014,,,,17,2014,,,,,,,"1 station, Traffic urban","1 station, Traffic urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Rochelle,857,24,2014,,,,10,2014,,,,,,,"5 stations, Background urban","2 stations, Background urban","Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Roche-Sur-Yon,858,20,2014,,,,12,2014,,,,,,,"1 station, Background urban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Talaudiere,859,18,2014,,,,11,2014,,,,,,,"1 station, Background suburban",-,"Ministre de l'environnement, de l'_nergie et de la mer"
European Region,Eur HI,France,La Tardiere,860,14,2014,,,,10,2014,,,,,,,"1 station, Background rural","1 station, Background rural","Ministre de l'environnement, de l'_nergie et de la mer"
