region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlertPM10,dataCoverageAlertPM2.5,Number and type of monitoring stations (PM10),Number and type of monitoring stations (PM2.5),Reference
Western Pacific Region,Wpr HI,Australia,La Trobe Valley,23,20,2014,,,,10,2014,,,,,,,"2 stations, residential, rural","3 stations, residential, rural",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
Western Pacific Region,Wpr HI,Australia,"Launceston, Tasmania",24,19,2013,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2013,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, Rural (small town)",Environment Protection Authority
Western Pacific Region,Wpr HI,Australia,Lower Hunter,25,17,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"3 stations, high school",http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
Western Pacific Region,Wpr HI,Australia,Mackay,26,17,2014,,,,7,2014,,,,,,,"1 station, residential rural",-,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
Western Pacific Region,Wpr HI,Australia,Melbourne,27,19,2014,,,,8,2014,,,,,,,"10 stations, Residential/Light Industry","2 stations, Residential/Light Industry",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
Western Pacific Region,Wpr HI,Australia,Moranbah,28,21,2014,,,,9,2014,,,,,,,"1 station, industrial/residential",-,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
Western Pacific Region,Wpr HI,Australia,Mount Isa,29,16,2014,,,,7,2014,,,,,,,"1 station, industrial/residential",-,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
Western Pacific Region,Wpr HI,Australia,Muswellbrook,30,21,2014,,,,9,2014,,,,,,,"1 station, Residential (outer urban)",-,http://www.environment.nsw.gov.au/AQMS/
Western Pacific Region,Wpr HI,Australia,Newcastle,31,19,2014,,,,8,2014,,,,,,,"3 stations, Residential (outer urban)",-,http://www.environment.nsw.gov.au/AQMS/
Western Pacific Region,Wpr HI,Australia,Palmerston,32,22,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, industrial/residential",http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf
