Country Name,Country Code,Type,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Electricity production from coal sources (% of total),Forest area (% of land area),Pump price for gasoline (US$ per liter),"Gross enrolment ratio, tertiary, both sexes (%)",Average precipitation in depth (mm per year),"Life expectancy at birth, total (years)",Population
Finland,FIN,Country,7.03,10.79,73.11,2.08,93.72,536,80.63,5438972
Fiji,FJI,Country,7.49,NA,54.88,1.41,NA,2592,69.74,880487
France,FRA,Country,14.02,3.87,30.41,1.91,58.30,867,81.97,65925498
Faeroe Islands,FRO,Country,NA,NA,0.06,NA,NA,NA,81.10,48292
"Micronesia, Fed. Sts.",FSM,Country,4.36,NA,91.69,NA,NA,758,68.85,103718
Gabon,GAB,Country,10.92,0.00,86.93,1.04,NA,1831,63.28,1650351
United Kingdom,GBR,Country,10.81,39.96,12.78,2.17,61.88,1220,80.90,64128226
Georgia,GEO,Country,15.51,0.00,40.62,1.34,27.93,1026,73.94,3776000
Ghana,GHA,Country,26.54,0.00,40.66,0.92,12.20,1187,60.98,26164432
Guinea,GIN,Country,27.02,NA,26.34,1.34,9.93,1651,57.64,11948726
"Gambia, The",GMB,Country,34.80,NA,47.75,NA,NA,836,59.78,1866878
Guinea-Bissau,GNB,Country,30.20,NA,71.19,NA,NA,1577,54.50,1757138
Equatorial Guinea,GNQ,Country,11.25,NA,57.14,NA,NA,2156,56.89,797082
Greece,GRC,Country,15.37,51.21,30.75,2.06,116.62,652,80.63,10965211
Grenada,GRD,Country,16.87,NA,49.97,1.4,NA,2350,73.00,105902
Greenland,GRL,Country,NA,NA,0.00,NA,NA,NA,NA,56483
Guatemala,GTM,Country,12.40,13.15,34.05,1.14,NA,1996,71.25,15690793
Guam,GUM,Country,NA,NA,46.30,NA,NA,NA,78.62,165121
Guyana,GUY,Country,8.75,NA,84.10,1.08,12.91,2387,66.22,761033
High income,HIC,Aggregate,15.21,29.40,34.50,1.82,75.21,NA,78.93,1392000618
"Hong Kong SAR, China",HKG,Country,NA,70.32,NA,2.16,60.13,NA,83.48,7187500
Honduras,HND,Country,8.67,1.70,44.26,1.25,20.40,1976,72.76,7849059
